good_rewards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversary_rewards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rewards,-13493.1267511117,-13307.8408223817,-12967.651613653,-12790.0445137316,-12784.9833939253,-12706.1468748901,-12902.6893054013,-12612.0324495584,-12616.9698875571,-12352.7159898991,-12304.7875811778,-12200.3381776965,-12148.1231312842,-12272.1022552086,-12218.5957088686,-12156.2720099762,-12187.5783900292,-12084.0850115861,-11918.2089861648,-11861.7572491145,-11968.8766275416,-11765.7776245302,-11679.2882569416,-11570.1763852199,-11370.6949729646,-11480.2938233303,-11344.9645138021,-11301.9722628066,-11179.0979927628,-11072.7822165491,-10953.1743251688,-10959.4744498152,-10843.0423756343,-10812.4149700623,-10667.7115016905,-10635.9841701965,-10576.8306423968,-10521.0722323569,-10399.0709022136,-10353.6837389075,-10362.5599817279,-10273.0488613046,-10203.5035762428,-10158.3972966603,-10143.2980932014,-10119.1521661265,-10105.4012879024,-10037.7031392279,-10061.036844291,-9992.78502309828,-9968.24652520892,-9909.5952210569,-9920.1596127495,-9871.56046124159,-9850.44845100445,-9828.30968585024,-9799.87398162983,-9806.05717141582,-9796.86666819448,-9804.80837057513
steps,25000,50000,75000,100000,125000,150000,175000,200000,225000,250000,275000,300000,325000,350000,375000,400000,425000,450000,475000,500000,525000,550000,575000,600000,625000,650000,675000,700000,725000,750000,775000,800000,825000,850000,875000,900000,925000,950000,975000,1000000,1025000,1050000,1075000,1100000,1125000,1150000,1175000,1200000,1225000,1250000,1275000,1300000,1325000,1350000,1375000,1400000,1425000,1450000,1475000,1500000
q_loss,4.17507950464885,3.32381006081899,3.37889448801676,3.41294610500336,3.27033376693726,3.19022285938263,3.0738396247228,3.13878468672434,2.99801103274027,2.94289112091064,2.99068518479665,2.84909745057424,2.76498126983643,2.68642789125442,2.6259946624438,2.75425740083059,2.57461323340734,2.58936848243078,2.58720912535985,2.49870979785919,2.59610199928284,2.56705925861994,2.65370567639669,2.60171641906103,2.60398819049199,2.53255468606949,2.47427242994308,2.49245754877726,2.40914785861969,2.36008787155151,2.32255770762761,2.21649964650472,2.28998720645905,2.0707886616389,2.11386479934057,2.14123167594274,2.18839361270269,2.04961731036504,2.11559027433395,2.08188325166702,2.02984724442164,1.99692455927531,2.0434841910998,1.9382668932279,1.90981517235438,1.96709827582041,1.94116228818893,1.88233691453934,1.86517073710759,1.86336239178975,1.8581397930781,1.79445368051529,1.76080876588821,1.79629574219386,1.77376119295756,1.69585293531418,1.71033918857574,1.74037106831868,1.72082217534383,1.73217831055323
gcn_q_loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p_loss,289.25048828125,338.653015136719,340.751525878906,338.520812988281,335.745574951172,334.065979003906,332.610961914063,330.970275878906,328.818511962891,326.492828369141,324.960083007812,320.396270751953,317.122955322266,314.395874023438,313.420806884766,311.65771484375,310.910919189453,309.635650634766,307.689880371094,306.161590576172,303.993682861328,301.51611328125,298.707366943359,296.856781005859,294.803405761719,292.82177734375,289.866363525391,287.830841064453,285.041687011719,282.2587890625,279.829467773438,278.764129638672,276.314666748047,273.935577392578,272.022338867187,269.676452636719,267.980499267578,265.956787109375,263.784606933594,263.185241699219,260.89111328125,258.548309326172,256.278747558594,255.148681640625,251.55403137207,251.439743041992,248.847717285156,248.381256103516,245.831268310547,245.109024047852,244.440658569336,242.757095336914,241.935623168945,241.12890625,239.591049194336,239.982986450195,237.694137573242,236.917831420898,235.810928344727,236.137847900391
final,-13493.1267511117,-13400.4837867467,-13256.2063957155,-13139.6659252195,-13068.7294189607,-13008.2989949489,-12993.2118964421,-12945.5644655816,-12909.0539569122,-12853.4201602109,-12734.5862432175,-12623.835978749,-12541.8831305121,-12490.0889046598,-12433.4501361542,-12378.4626496628,-12306.9515581256,-12254.1568143283,-12184.2807241891,-12135.1848501106,-12101.593754747,-12058.1376994304,-12011.2542119961,-11941.0616249973,-11856.2715514069,-11788.6737327423,-11704.4123451196,-11626.2010702416,-11552.2899709014,-11473.3924676449,-11371.8222374076,-11291.1919199361,-11207.5673318054,-11131.7911902896,-11061.4928431622,-10977.0618778488,-10900.2484907083,-10822.1584876633,-10744.1557786084,-10672.2459308442,-10613.1844965001,-10544.5419376491,-10480.5880577099,-10415.1862903697,-10362.7449495208,-10311.0617491138,-10263.9188136644,-10215.5819043515,-10181.7784985592,-10145.6886269783,-10106.2572813264,-10069.9119173016,-10041.5775209523,-10012.8938374104,-9983.60887319073,-9954.52462516311,-9923.97189453586,-9900.80729775466,-9874.390280145,-9855.59261489268
abs,-13493.1267511117,-13307.8408223817,-12967.651613653,-12790.0445137316,-12784.9833939253,-12706.1468748901,-12706.1468748901,-12612.0324495584,-12612.0324495584,-12352.7159898991,-12304.7875811778,-12200.3381776965,-12148.1231312842,-12148.1231312842,-12148.1231312842,-12148.1231312842,-12148.1231312842,-12084.0850115861,-11918.2089861648,-11861.7572491145,-11861.7572491145,-11765.7776245302,-11679.2882569416,-11570.1763852199,-11370.6949729646,-11370.6949729646,-11344.9645138021,-11301.9722628066,-11179.0979927628,-11072.7822165491,-10953.1743251688,-10953.1743251688,-10843.0423756343,-10812.4149700623,-10667.7115016905,-10635.9841701965,-10576.8306423968,-10521.0722323569,-10399.0709022136,-10353.6837389075,-10353.6837389075,-10273.0488613046,-10203.5035762428,-10158.3972966603,-10143.2980932014,-10119.1521661265,-10105.4012879024,-10037.7031392279,-10037.7031392279,-9992.78502309828,-9968.24652520892,-9909.5952210569,-9909.5952210569,-9871.56046124159,-9850.44845100445,-9828.30968585024,-9799.87398162983,-9799.87398162983,-9796.86666819448,-9796.86666819448
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abs,-13493.1267511117,-13307.8408223817,-12967.651613653,-12790.0445137316,-12784.9833939253,-12706.1468748901,-12706.1468748901,-12612.0324495584,-12612.0324495584,-12352.7159898991,-12304.7875811778,-12200.3381776965,-12148.1231312842,-12148.1231312842,-12148.1231312842,-12148.1231312842,-12148.1231312842,-12084.0850115861,-11918.2089861648,-11861.7572491145,-11861.7572491145,-11765.7776245302,-11679.2882569416,-11570.1763852199,-11370.6949729646,-11370.6949729646,-11344.9645138021,-11301.9722628066,-11179.0979927628,-11072.7822165491,-10953.1743251688,-10953.1743251688,-10843.0423756343,-10812.4149700623,-10667.7115016905,-10635.9841701965,-10576.8306423968,-10521.0722323569,-10399.0709022136,-10353.6837389075,-10353.6837389075,-10273.0488613046,-10203.5035762428,-10158.3972966603,-10143.2980932014,-10119.1521661265,-10105.4012879024,-10037.7031392279,-10037.7031392279,-9992.78502309828,-9968.24652520892,-9909.5952210569,-9909.5952210569,-9871.56046124159,-9850.44845100445,-9828.30968585024,-9799.87398162983,-9799.87398162983,-9796.86666819448,-9796.86666819448
abs,-14286.0257129364,-14286.0257129364,-13820.3863973759,-13020.2012765185,-13020.2012765185,-12725.2759688918,-12725.2759688918,-12725.2759688918,-12682.9035290179,-12682.9035290179,-12388.3888864953,-12243.5062811515,-12164.9337948262,-12098.2991793384,-11725.9798433036,-11590.6557885353,-11532.6823447932,-11459.6976735494,-11459.6976735494,-11427.3736736649,-11427.3736736649,-11283.6167537006,-11230.8995608478,-11149.2112815029,-11106.4433980932,-11106.4433980932,-11106.4433980932,-11102.1871552829,-10967.0990929333,-10967.0990929333,-10967.0990929333,-10967.0990929333,-10946.7844254214,-10946.7844254214,-10823.2818997403,-10749.1501442313,-10709.2187561198,-10550.4427964478,-10550.4427964478,-10547.3685354459,-10465.7511047893,-10408.0396464233,-10401.5245132864,-10401.5245132864,-10319.5749364008,-10319.5749364008,-10274.2675046641,-10274.2675046641,-10259.8692747901,-10246.0403927308,-10171.3283057983,-10171.3283057983,-10164.9458366526,-10164.9458366526,-10096.5323336219,-10096.5323336219,-10096.5323336219,-10046.0582260115,-10046.0582260115,-10046.0582260115
